"Editing Card:",Editing-Karte:"
"Contact Information","Kontaktinformation"
"Card Information","Karten Information"
"Select Card","Wählen Sie die Karte"
"Continue using card %s","Weiter mit Karten% s"
"Update credit card details","Angaben aktualisieren Kreditkarte"
"Credit Card Type",Kreditkartentyp"
"Credit Card Number","Kreditkartennummer"
"Expiration Date","Verfallsdatum"
"Card Verification Number","Kartenprüfnummer"
"Save Card","Save-Karte"
"Add New Card","Neue Karte hinzufügen"
"My Saved Credit Cards","Gespeicherte Kreditkarten"
"Card #","Card #"
"Card Info","Karteninfo"
"Action","Aktion"
"Are you sure want to delete credit card details?","Bist du sicher dass Kreditkartendaten löschen?"
"You do not have any saved credit cards.","Sie haben keine gespeicherten Kreditkarten."
"Select From Saved Card","Wählen Sie aus gespeicherten Karte"
"Use other card","Verwenden Sie andere Karte"
"--Please Select--","--Bitte Auswählen--"
"Remove Card","Karte entfernen"
"Edit Card","Edit-Karte"
"No saved Cards are available","Keine gespeicherten Karten stehen zur Verfügung"
"Please enter Card Verification Number","Bitte geben Sie Card Verification Number"
"Please enter state","Bitte geben Sie Zustand"
"Please enter required fields","Bitte geben Sie erforderlichen Felder"
"Credit card saved successfully","Gerettet Kreditkarte erfolgreich"
"Card deleted successfully","Karte erfolgreich gelöscht"
"Card does not exists","Karte ist nicht vorhanden"
"Card information missing","Karte Informationen fehlen"
"Card updated successfully","Karte erfolgreich aktualisiert"