"Editing Card:","Tarjeta de Edición:"
"Contact Information","Información De Contacto"
"Card Information","Información de la Tarjeta"
"Select Card","Seleccionar tarjeta"
"Continue using card %s","Continuar con tarjeta de% s"
"Update credit card details","Actualizar datos de la tarjeta de crédito"
"Credit Card Type","Tipo De Tarjeta De Crédito"
"Credit Card Number","Número De Tarjeta De Crédito"
"Expiration Date","Fecha De Vencimiento"
"Card Verification Number","Número De Verificación De Tarjeta"
"Save Card","Guardar la tarjeta"
"Add New Card","Añadir nueva tarjeta"
"My Saved Credit Cards","Mi Guardados Tarjetas de crédito"
"Card #","Tarjeta #"
"Card Info","Tarjeta de Información"
"Are you sure want to delete credit card details?","¿Está seguro de querer eliminar datos de la tarjeta de crédito?"
"You do not have any saved credit cards.","Usted no tiene ninguna tarjeta de crédito guardados."
"Select From Saved Card","Seleccione desde tarjeta Guardados"
"Use other card","Use otra tarjeta"
"For your convenience","Para su comodidad"
"--Please Select--","--Por Favor Seleccione--"
"Remove Card","Eliminar tarjeta"
"Edit Card","Tarjeta Editar"
"No saved Cards are available","Tarjetas Sin guardados están disponibles"
"Please enter Card Verification Number","Por favor introduzca la tarjeta del número de verificación"
"Please enter state","Por favor ingrese el estado"
"Please enter required fields","Por favor ingrese los campos obligatorios"
"Credit card saved successfully","Tarjeta de crédito guardado correctamente"
"Card deleted successfully","Tarjeta eliminado correctamente"
"Card does not exists","La tarjeta no existe"
"Card information missing","Información de Tarjeta de falta"
"Card updated successfully","Ficha actualizada con éxito"