"Editing Card:","Carte de Montage:"
"Contact Information","Coordonnées"
"Card Information","Informations sur la carte"
"Select Card","Sélectionner la carte"
"Continue using card %s","Continuez à utiliser la carte% s"
"Update credit card details","Mettre à jour les détails de votre carte de crédit"
"Credit Card Type","«Type de carte de crédit"
"Credit Card Number","Numéro de carte de crédit"
"Expiration Date","Date d'expiration"
"Card Verification Number","Numéro De Vérification De Carte"
"Save Card","Enregistrer la carte"
"Add New Card","Ajouter une nouvelle carte"
"My Saved Credit Cards","Mon Saved cartes de crédit"
"Card #","Carte #"
"Card Info","Info carte"
"Are you sure want to delete credit card details?","«Êtes-vous sûr de vouloir supprimer les détails de carte de crédit?"
"You do not have any saved credit cards.","Vous ne devez pas les cartes de crédit enregistrées."
"Select From Saved Card","Sélectionnez De Carte Saved"
"Use other card","Utiliser une autre carte"
"For your convenience","Pour votre commodité"
"--Please Select--","--Veuillez Choisir--"
"Remove Card","Supprimer la carte"
"Edit Card","Modifier la carte"
"No saved Cards are available","Pas de cartes enregistrées sont disponibles"
"Please enter Card Verification Number","S'il vous plaît entrer Card Verification Number"
"Please enter state","S'il vous plaît entrer dans l'état"
"Please enter required fields","S'il vous plaît entrer champs obligatoires"
"Credit card saved successfully","«Carte de crédit enregistrée avec succès"
"Card deleted successfully","Carte supprimé avec succès"
"Card does not exists","Carte ne existe pas"
"Card information missing","Informations de carte manquant"
"Card updated successfully","Fiche mise à jour avec succès"