"Editing Card:","Editing Card:"
"Contact Information","Contact Information"
"Card Information","Card Information"
"Select Card","Select Card"
"Continue using card %s","Continue using card %s"
"Update credit card details","Update credit card details"
"Credit Card Type","Credit Card Type"
"Credit Card Number","Credit Card Number"
"Expiration Date","Expiration Date"
"Card Verification Number","Card Verification Number"
"Save Card","Save Card"
"Add New Card","Add New Card"
"My Saved Credit Cards","My Saved Credit Cards"
"Card #","Card #"
"Card Info","Card Info"
"Action","Action"
"Are you sure want to delete credit card details?","Are you sure want to delete credit card details?"
"You do not have any saved credit cards.","You do not have any saved credit cards."
"Select From Saved Card","Select From Saved Card"
"Use other card","Use other card"
"For your convenience, this card will be stored securely via Cybersource","For your convenience, this card will be stored securely via Cybersource"
"--Please Select--","--Please Select--"
"Remove Card","Remove Card"
"Edit Card","Edit Card"
"Save this credit card for future use.","保存這張信用卡."
"No saved Cards are available","No saved Cards are available"
"Please enter Card Verification Number","Please enter Card Verification Number"
"Please enter state","Please enter state"
"Please enter required fields","Please enter required fields"
"Credit card saved successfully","Credit card saved successfully"
"Card deleted successfully","Card deleted successfully"
"Card does not exists","Card does not exists"
"Card information missing","Card information missing"
"Card updated successfully","Card updated successfully"